article,party
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",YSRCP
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",YSRCP
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",YSRCP
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",TDP
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",TDP
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",TDP
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",BJP
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",BJP
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",BJP
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",INC
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",INC
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",INC
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",JANASENA
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",JANASENA
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",JANASENA
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",BRS
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",BRS
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",BRS
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",CPI
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",CPI
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",CPI
"శారదా ఉగ్రరూపం : మండలంలో రజాల అగ్రహారం వద్ద మేజర్‌ శారదా నది, నారాయణపురం వద్ద మైనర్‌ శారదా గట్లకు గండ్లు పడ్డాయి. దీంతో వరద నీరు సమీపంలో వున్న గ్రామాల్లో వరి పొలాలు, చేపల చెరువులు, కొబ్బరి తోటలను ముంచేసింది. వై.లోవ గ్రామంలోకి వరద నీరు ప్రవేశించింది. సగానికిపైగా వీధులు నీటమునిగాయి.",CPM
"ఏపీ రాజ‌కీయాల్లో సంచ‌ల‌నం: జ‌గ‌న్ వైసీపీ కూట‌మి .. ! ఈ సరికొత్త కూటమి వైసీపీకి మద్దతుగా ఏర్పడే అవకాశం ఉందనే చర్చ రాజకీయ వర్గాల్లో వేడి పుట్టిస్తోంది. జైభీం పార్టీ నేత జడ శ్రావణ్‌కుమార్ ఇటీవల చేసిన వ్యాఖ్యలు ఈ చర్చకు మరింత బలం చేకూర్చాయి. ఆయన ప్రకారం, వైసీపీ చేతులు చాపితే, కౌగిలించుకునేందుకు నాలుగు పార్టీలు సిద్ధంగా ఉన్నాయట. వీటిలో ఆమ్ ఆద్మీ పార్టీ, బీఎస్పీ, జైభీం పార్టీ, మాజీ ఐఏఎస్ అధికారి విజయ్‌కుమార్ స్థాపించిన ఎస్సీ పార్టీతో పాటు మరికొన్ని చిన్నా చితకా రాజకీయ సంస్థలు ఉన్నాయి. ]]>",CPM
"తుఫాన్‌ అనంతర చర్యలు తీసుకోండి: అశోక్‌ తుఫాన్‌లో నష్టపోయిన వారి ని ఆదుకునేందుకు అన్ని చర్యలు తీసుకోవాలని, ఈ మేరకు ప్రభుత్వం ఆదేశించిందని విప్‌, ఎమ్మెల్యే బెందాళం అశోక్‌ అన్నారు. బుధవారం తహసీల్దార్‌ కార్యాలయంలో అన్ని శాఖల అధికారులతో సమీక్ష సమా వేశం నిర్వహించారు.",CPM
